COUNTRY,INDICATORs,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Honduras,"All Items, Consumer price index (CPI), End-of-period (EoP)",310.1,323.2,336.4,349.9,368.5,404.6,425.6,442.1,463.94,482.405
Dominican Republic,"All Items, Consumer price index (CPI), End-of-period (EoP)",94.309,95.413,98.901,104.394,113.263,122.128,126.487,130.722,135.616,141.041
Dominican Republic,"All Items, Consumer price index (CPI), Period average",92.073,95.355,97.081,100.752,109.056,118.666,124.345,128.451,133.237,138.792
Dominican Republic,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",20456.28,21701.217,22560.728,20592.598,23284.164,24304.455,24635.245,25644.792,26189.697,27154.343
Ecuador,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",14151.05,14060.139,13857.017,12454.246,13559.634,14273.604,14459.833,14066.548,14412.337,14587.648
Ecuador,"All Items, Consumer price index (CPI), Period average",105.442,105.206,105.486,105.129,105.269,108.917,111.331,113.053,114.246,117.496
Ecuador,"All Items, Consumer price index (CPI), End-of-period (EoP)",105.004,105.283,105.215,104.233,106.256,110.227,111.715,112.306,116.32,118.251
El Salvador,"All Items, Consumer price index (CPI), End-of-period (EoP)",111.81,112.3,112.29,112.2,119.06,127.77,129.34,129.71,130.618,132.185
El Salvador,"All Items, Consumer price index (CPI), Period average",111.15,112.359,112.443,112.027,115.912,124.253,129.281,130.385,130.776,132.084
El Salvador,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",10064.646,10297.24,10543.508,9691.987,10809.682,11084.94,11423.73,11668.793,11901.008,12137.844
Nicaragua,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",7273.429,6964.992,6685.402,6475.109,7071.007,7237.796,7471.296,7650.299,7788.702,7920.943
Haiti,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",3353.133,3359.241,3255.227,3102.119,3004.66,2915.06,2822.899,2669.426,2552.471,2488.495
Honduras,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",6198.016,6325.212,6375.116,5703.39,6309.195,6457.187,6572.625,6688.713,6823.021,6939.91
Haiti,"All Items, Consumer price index (CPI), Period average",89.754,100,117.308,144.225,167.216,213.328,307.405,386.85,494.476,623.876
Guatemala,"All Items, Consumer price index (CPI), End-of-period (EoP)",76.046,77.807,80.45,84.333,86.925,94.952,98.916,100.597,102.796,106.95
Guatemala,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",11005.459,11192.372,11466.376,11097.15,11825.141,12147.931,12384.948,12640.887,12950.152,13244.183
Haiti,"All Items, Consumer price index (CPI), End-of-period (EoP)",94.07,106.539,127.5,159.6,180.447,250.2,329.86,421.8,545.742,677.112
Honduras,"All Items, Consumer price index (CPI), Period average",304.017,317.233,331.083,342.567,357.917,390.45,416.467,435.65,455.646,474.966
Guatemala,"All Items, Consumer price index (CPI), Period average",73.962,76.737,79.576,82.133,85.634,91.528,97.211,100,101.691,105.085
Uruguay,"All Items, Consumer price index (CPI), End-of-period (EoP)",66.2,71.47,77.76,85.07,91.85,99.47,104.55,110.29,114.646,119.806
Panama,"All Items, Consumer price index (CPI), Period average",104.433,105.229,104.855,103.229,104.913,107.913,109.517,110.387,110.33,112.536
Mexico,"All Items, Consumer price index (CPI), Period average",95.573,100.253,103.898,107.428,113.544,122.511,129.281,135.386,140.688,145.4
Mexico,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",21795.34,22010.196,21713.542,19745.382,20814.061,21423.824,21943.926,22065.493,22101.226,22268.745
Panama,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",32052.258,32752.781,33288.656,26974.545,30989.812,33956.507,35920.776,36443.725,37436.343,38466.892
Panama,"All Items, Consumer price index (CPI), End-of-period (EoP)",104.5,104.666,104.599,102.951,105.653,107.845,109.917,109.705,110.472,112.682
Mexico,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.273,103.02,105.934,109.271,117.308,126.478,132.373,137.949,143.063,147.354
Nicaragua,"All Items, Consumer price index (CPI), End-of-period (EoP)",210.957,219.153,232.586,239.402,256.663,286.42,302.47,311,317.22,325.785
"Venezuela, República Bolivariana de","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",13521.316,11442.037,8600.669,5991.77,6128.963,6783.843,7102.01,7528.847,7534.582,7250.525
"Bahamas, The","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",34199.424,34656.011,34006.731,26890.888,31223.121,34190.064,34849.103,35634.517,36022.232,36414.553
Uruguay,"All Items, Consumer price index (CPI), Period average",65.146,70.101,75.627,83.003,89.436,97.58,103.304,108.314,113.382,118.498
Paraguay,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15428.659,15701.001,15424.212,15095.03,15487.775,15352.394,15925.258,16396.585,16909.879,17329.046
Paraguay,"All Items, Consumer price index (CPI), End-of-period (EoP)",100,103.2,106.1,108.4,115.8,125.2,129.8,134.7,140.088,144.921
Paraguay,"All Items, Consumer price index (CPI), Period average",97.967,101.858,104.667,106.517,111.617,122.517,128.192,133.108,138.283,143.434
Uruguay,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",28840.909,28828.512,29064.641,26906.862,28495.125,29831.85,30097.061,31073.778,31895.039,32699.575
Peru,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15474.823,15789.345,15857.229,13908.508,15572.481,15836.534,15616.48,15972.587,16277.806,16551.624
Grenada,"All Items, Consumer price index (CPI), Period average",110.368,111.258,111.923,111.093,112.45,115.33,118.461,119.748,121.176,122.453
Grenada,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",16873.523,17532.068,17553.624,15064.305,15681.868,16735.309,17401.702,17878.548,18365.485,18894.17
"Aruba, Kingdom of the Netherlands","All Items, Consumer price index (CPI), End-of-period (EoP)",92.55,96.67,100.13,97.06,100.6,106.37,108.79,109.071,111.096,113.472
"Aruba, Kingdom of the Netherlands","All Items, Consumer price index (CPI), Period average",91.903,95.235,98.985,97.687,98.413,103.848,107.34,109.178,110.019,112.345
"Bahamas, The","All Items, Consumer price index (CPI), End-of-period (EoP)",103.94,105.98,107.5,108.75,113.24,119.44,121.71,121.75,122.523,124.297
Dominica,"All Items, Consumer price index (CPI), Period average",102.693,103.709,105.27,104.504,106.146,114.327,119.138,122.808,126.272,129.227
"Venezuela, República Bolivariana de","All Items, Consumer price index (CPI), Period average",268.804,175997.017,35210006.07,864457493.2,14596478386,41825067385,1.83E+11,2.73E+11,1.00839E+12,7.8864E+12
"Aruba, Kingdom of the Netherlands","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",37810.037,38985.245,39424.355,29945.56,34320.139,36083.973,38868.808,41531.246,42410.548,43357.023
"Venezuela, República Bolivariana de","All Items, Consumer price index (CPI), End-of-period (EoP)",818.746,1065682.063,103216574.1,3158261234,24836032115,82948824337,2.41E+11,3.54E+11,2.29597E+12,1.67321E+13
"Bahamas, The","All Items, Consumer price index (CPI), Period average",103.065,105.402,108.028,108.07,111.209,117.443,121.036,121.535,122.086,123.358
Antigua and Barbuda,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",26294.406,27609.945,28087.389,22451.979,23934.393,25742.422,26000.136,26605.967,26912.397,27224.4
Antigua and Barbuda,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.408,100.12,100.81,103.61,104.87,114.57,118.33,124.68,128.473,130.997
Antigua and Barbuda,"All Items, Consumer price index (CPI), Period average",98.422,99.614,101.04,102.109,103.77,111.585,117.239,124.511,128.807,131.921
Guyana,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",12647.263,13135.199,13796.914,19736.549,23624.836,38472.091,51309.761,73444.671,80778.715,99020.5
Dominica,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",15489.994,16030.516,16275.715,13362.437,14212.229,14931.057,15556.761,16027.279,16621.6,17082.294
Barbados,"All Items, Consumer price index (CPI), End-of-period (EoP)",99.946,99,101.3,101.7,104.1,108.1,111.6,112,115.744,118.485
Dominica,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.94,104.96,105.11,104.37,108.067,117.456,120.378,122.925,126.738,129.664
Barbados,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",18376.455,18114.748,18186.825,15409.821,15331.637,18019.992,18710.233,19409.403,19883.016,20249.19
